measurementID	occurrenceID	measurementOfTaxon	parentMeasurementID	measurementType	measurementValue	measurementUnit	statisticalMethod	measurementRemarks	source	contributor	referenceID
M1097	C132	TRUE		http://eol.org/schema/terms/HeadBodyLength	64.5	http://purl.obolibrary.org/obo/UO_0000016	http://semanticscience.org/resource/SIO_001113			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R134
M1098	C132	TRUE		http://eol.org/schema/terms/HeadBodyLength	75	http://purl.obolibrary.org/obo/UO_0000016	http://semanticscience.org/resource/SIO_001114			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R134
M1099	C133	TRUE		http://eol.org/schema/terms/HeadBodyLength	24	http://purl.obolibrary.org/obo/UO_0000016	http://www.ebi.ac.uk/efo/EFO_0001444			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R181
M1100	C790	TRUE		http://eol.org/schema/terms/HeadBodyLength	25	http://purl.obolibrary.org/obo/UO_0000016	http://www.ebi.ac.uk/efo/EFO_0001444			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R181
M1101	C134	TRUE		http://eol.org/schema/terms/HeadBodyLength	31.7	http://purl.obolibrary.org/obo/UO_0000016	http://www.ebi.ac.uk/efo/EFO_0001444			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R137
M1102	C135	TRUE		http://eol.org/schema/terms/HeadBodyLength	36	http://purl.obolibrary.org/obo/UO_0000016	http://www.ebi.ac.uk/efo/EFO_0001444			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R108
M1103	C136	TRUE		http://eol.org/schema/terms/HeadBodyLength	12.1	http://purl.obolibrary.org/obo/UO_0000016	http://semanticscience.org/resource/SIO_001113			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R180
			M1103	http://eol.org/schema/terms/SampleSize	3					"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	
M1104	C136	TRUE		http://eol.org/schema/terms/HeadBodyLength	14.4	http://purl.obolibrary.org/obo/UO_0000016	http://semanticscience.org/resource/SIO_001114			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R180
			M1104	http://eol.org/schema/terms/SampleSize	3					"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	
M1106	C137	TRUE		http://eol.org/schema/terms/HeadBodyLength	74	http://purl.obolibrary.org/obo/UO_0000016	http://www.ebi.ac.uk/efo/EFO_0001444			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R134
M1107	C138	TRUE		http://eol.org/schema/terms/HeadBodyLength	27	http://purl.obolibrary.org/obo/UO_0000016	http://www.ebi.ac.uk/efo/EFO_0001444			"Compiler: Anne E. Thessen, Compiler: Esther Quintero, Compiler: Paulina Arias Caballero"	R175
