identifier	publicationType	full_reference	primaryTitle	title	pageStart	pageEnd	volume	publisher	authorList	editorList	created	language	uri	doi
R144	journal article		Journal of Herpetology	Salamanders of the Genus Bolitoglossa from the Sierra Madre del Sur of Southern Mexico	295	307	17		Papenfuss, T.J.|Wake, D.B.|Adler, K.		1983	en	http://www.jstor.org/stable/1563582	
R145	journal article		Acta Zoológica Mexicana (nueva serie)	Two new species of plethodontid salamanders (genus Nototriton) from Mexico	1	16	21		Papenfuss, T.J.|Wake, D.B.		1987	en		
R146	journal article		Copeia	Two new species of Pseudoeurycea (Caudata: Plethodontidae) from the Mountains of Northern Oaxaca, Mexico	461	469	2005		Parra-Olea, G.|García-París, M.|Hanken, M.|Wake, D.B.		2005	en		http://dx.doi.org/10.1643/CH-04-112R
R147	journal article		Herpetologica	A morphologically distinct new species of Pseudoeurycea (Caudata: Pltehodontidae) from the Sierra Madre Oriental of Puebla. México	78	87	60		Parra-Olea, G.|Canseco-Márquez, L.|García-París, M.		2004	en		http://dx.doi.org/10.1655/03-76
R148	journal article		Journal of Herpetology	Phylogenetic relationships among the salamanders of the Bolitoglossa macrinii species group (Amphibia: Plethodontidae), with descriptions of two new species from Oaxaca (Mexico)	356	366	36		Parra-Olea, G.|García-París, M.|Wake, D.B.		2002	en	http://www.jstor.org/stable/1566178	
R149	journal article		Herpetologica	Systematics of the Pseudoeurycea bellii (Caudata: Plethodontidae) Species Complex	145	158	61		Parra-Olea, G.|García-París, M.|Papenfuss, T.J.|Wake, D.B.		2005	en		http://dx.doi.org/10.1655/03-02
R150	journal article		Acta Zoológica Mexicana (nueva serie)	Nueva especie de salamandra del género Pseudoeurycea (Amphibia:Caudata:Plethodontidae) de la región Amuzga, al sureste de Guerrero, México)	55	68	89		Pérez-Ramos, E.|Saldaña-de-la-Riva, L.		2003	es		
R151	journal article		Breviora	A New Salamander of the Genus Chiropterotriton (Caudata: Plethodontidae) from Mexico	1	8	235		Raab, G.B.		1965	en	http://biostor.org/reference/4304	
R152	journal article		Breviora	A new salamander of the genus Parvimolge from Mexico	1	9	42		Raab, G.B.		1955	en	http://biostor.org/reference/4467	
R153	journal article		Fieldiana. Zoology	A new plethodontid salamander from Nuevo León, Mexico	11	20	39		Raab, G.B.		1956	en		http://dx.doi.org/10.5962/bhl.title.2874
R154	journal article		Copeia	A New Salamander of the Genus Chiropterotriton from Chiapas, Mexico, with Notes on Related Species	304	311	1960		Raab, G.B.		1960	en	http://www.jstor.org/stable/1439757	
R155	journal article		Occasional papers of the Museum of Zoology. University of Michigan	On certain Mexican salamanders of the Plethodontid genus Chiropterotriton	1	43	587		Raab, G.B.		1958	en		
R156	journal article		American Museum novitates	A new plethodontid salamander from Oaxaca, Mexico	1	8	2266		Regal, P.J.|Elliott, G.V.		1966	en	http://www.jstor.org/stable/3893057	
